RT_NM,STP_NM,RT_LINK,RT_DIR,RT_GRP,RT_NUM
502-zum-main-southbound-mississauga-city-centre-te,Williams - Zum Main Station Stop SB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Vodden - Zum Main Station Stop SB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Nelson - Zum Main Station Stop SB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Wellington - Zum Main Station Stop SB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Nanwood - Zum Main Station Stop SB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Brampton Gateway Terminal Route 2/502 SB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Sir Lou - Zum Main Station Stop SB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Ray Lawson - Zum Main Station Stop SB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Hurontario St at Derry Rd (Zum),https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Hurontario St at Courtneypark Dr - SB (Zum Main),https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Hurontario St at Britannia Rd - SB (Zum Main),https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Hurontario St at Matheson - SB (Zum Main),https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Hurontario St at Bristol Rd - SB (Zum Main),https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Hurontario St at Eglinton Ave - SB (Zum Main),https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,City Centre Transit Terminal - Arrival,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
malton-go-station-route-505-stop,Mount Pleasant GO Station - 5/5A/505 Zum Bovaird,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Lake Louise - Zum Bovaird Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Chinguacousy - Zum Bovaird Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,McLaughlin - Zum Bovaird Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Main - Zum Bovaird Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Kennedy - Zum Bovaird Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Southlake - Zum Bovaird Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Trinity Common Terminal-5/5A EB/ 505/505A EB Stop,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Dixie - Zum Bovaird Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Bramalea - Zum Bovaird Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
