TRIP_ID,RT_ID,RT_NAME,RT_VER,STP_NM,RT_STP_NUM,RT_NUM_STPS,RT_ID_VER,RT_DIR,RT_GRP,RT_GRP_NUM,ROUTE_ID,V_ID,STP_ARV_TM,STP_ARV_DTTM,STP_ID,DATA_TYPE,U_ID,ROW_ID,ERASE_DATA
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky E at Richvale Dr (WB),64,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,63,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky E at Kennedy Rd N,65,97,23_2,West,sandalwood,495,23-344,2108,1712568617.0,2024-04-08 05:30:17-04:00,11140,IE,23867691-240304-MULTI-Weekday-03_23_2,64,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Kennedy Rd N n/of Sandalwood Pky E,66,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,65,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Conestoga Dr at Mondragon Circle,67,97,23_2,West,sandalwood,495,23-344,2108,1712568674.0,2024-04-08 05:31:14-04:00,11160,IE,23867691-240304-MULTI-Weekday-03_23_2,66,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Heart Lake Terminal Route 23 WB Stop,68,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,67,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Conestoga Dr at Loafers Lake Lane,69,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,68,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky E w/of Conestoga Dr,70,97,23_2,West,sandalwood,495,23-344,2108,1712569185.0,2024-04-08 05:39:45-04:00,9430,IE,23867691-240304-MULTI-Weekday-03_23_2,69,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky E opp 95 Sandalwood Pky E (Firestat,71,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,70,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky E at Braidwood Lake Rd,72,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,71,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky E w/of Braidwood Lake Rd,73,97,23_2,West,sandalwood,495,23-344,2108,1712569347.0,2024-04-08 05:42:27-04:00,9460,IE,23867691-240304-MULTI-Weekday-03_23_2,72,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky E at Hurontario St,74,97,23_2,West,sandalwood,495,23-344,2108,1712569374.0,2024-04-08 05:42:54-04:00,9470,IE,23867691-240304-MULTI-Weekday-03_23_2,73,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky W w/of Hurontario St,75,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,74,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pkwy at 130 Sandalwood Pkwy,76,97,23_2,West,sandalwood,495,23-344,2108,1712569454.0,2024-04-08 05:44:14-04:00,11250,IE,23867691-240304-MULTI-Weekday-03_23_2,75,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky W at Van Kirk Dr,77,97,23_2,West,sandalwood,495,23-344,2108,1712569528.0,2024-04-08 05:45:28-04:00,11260,IE,23867691-240304-MULTI-Weekday-03_23_2,76,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky W w/of McLaughlin Rd N,78,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,77,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky W at Queen Mary Dr,79,97,23_2,West,sandalwood,495,23-344,2108,1712569636.0,2024-04-08 05:47:16-04:00,40210,IE,23867691-240304-MULTI-Weekday-03_23_2,78,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky W btwn Queen Mary Dr & Edenbrook H,80,97,23_2,West,sandalwood,495,23-344,2108,1712569746.0,2024-04-08 05:49:06-04:00,40220,IE,23867691-240304-MULTI-Weekday-03_23_2,79,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky W at Edenbrook Hill Dr,81,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,80,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky W w/of Chinguacousy Rd,82,97,23_2,West,sandalwood,495,23-344,2108,1712569852.0,2024-04-08 05:50:52-04:00,40240,IE,23867691-240304-MULTI-Weekday-03_23_2,81,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky opp Fidelity Ave,83,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,82,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky W at St. Edmund Campion,84,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,83,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pkwy w/of Brisdale Dr,85,97,23_2,West,sandalwood,495,23-344,2108,1712569975.0,2024-04-08 05:52:55-04:00,40253,IE,23867691-240304-MULTI-Weekday-03_23_2,84,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pkwy e/of Crown Victoria Dr,86,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,85,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pkwy e/of Creditview Rd,87,97,23_2,West,sandalwood,495,23-344,2108,1712570019.0,2024-04-08 05:53:39-04:00,40257,IE,23867691-240304-MULTI-Weekday-03_23_2,86,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pkwy w/of Creditview Rd,88,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,87,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pkwy w/of Robert Parkinson Dr,89,97,23_2,West,sandalwood,495,23-344,2108,1712570093.0,2024-04-08 05:54:53-04:00,18090459,IE,23867691-240304-MULTI-Weekday-03_23_2,88,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Veterans Dr s/of Sandalwood Pkwy,90,97,23_2,West,sandalwood,495,23-344,2108,1712570175.0,2024-04-08 05:56:15-04:00,16090525,IE,23867691-240304-MULTI-Weekday-03_23_2,89,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Veterans Dr s/of Dufay Rd,91,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,90,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Veterans Dr s/of Tysonville Cir,92,97,23_2,West,sandalwood,495,23-344,2108,1712570200.0,2024-04-08 05:56:40-04:00,15090774,IE,23867691-240304-MULTI-Weekday-03_23_2,91,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Veterans Dr n/of Dublin Rd,93,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,92,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Ganton Heights w/of Butterworth Rd,94,97,23_2,West,sandalwood,495,23-344,2108,1712570405.0,2024-04-08 06:00:05-04:00,15090776,IE,23867691-240304-MULTI-Weekday-03_23_2,93,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Ganton Heights opp Bevington Rd,95,97,23_2,West,sandalwood,495,23-344,2108,1712570363.0,2024-04-08 05:59:23-04:00,40564,IE,23867691-240304-MULTI-Weekday-03_23_2,94,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Ganton Heights w/of Commuter Dr,96,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,95,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Mount Pleasant Village - Route 23 Stop,97,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,96,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Dixie Rd s/of Mayfield Rd,1,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,97,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Dixie Rd at UPS (Caledon),2,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,98,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Dixie Rd s/of Mayfield Rd,3,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,99,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Dixie Rd at UPS (Caledon),4,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,100,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Mayfield Rd w/of Russell Creek Dr,5,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,101,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Russell Creek Dr s/of Seymour Rd,6,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,102,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Russell Creek Dr n/of Inspire Blvd,7,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,103,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Russell Creek Dr s/of Dolbyhill Dr,8,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,104,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Russell Creek Dr n/of Countryside Dr,9,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,105,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Countryside Dr e/of Blackstone River Dr,10,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,106,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Dixie Rd at Countryside Dr,11,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,107,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Dixie Rd n/of Templehill Rd,12,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,108,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Dixie Rd n/of Naperton Dr,13,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,109,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Dixie Rd n/of Octillo Blvd,14,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,110,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Dixie Rd s/of Sandalwood Pky E,15,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,111,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Dixie Rd at Springtown Trail,16,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,112,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Dixie Rd btwn Springtown Trail and Peter Robertson,17,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,113,YES
23867702-240304-MULTI-Weekday-03,18,Dixie,2,Dixie Rd n/of Guru Nanak St,18,80,18_2,South,dixie,473,,,,,,,23867702-240304-MULTI-Weekday-03_18_2,114,YES
