RT_NM,STP_NM,RT_STP_NUM,RT_NUM_STPS,RT_LINK,RT_DIR,RT_GRP,RT_NUM
502-zum-main-northbound-sandalwood-loop-route-502-,Williams - Zum Main Station Stop NB,15,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Bovaird - Zum Main Station Stop NB,16,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Sandalwood - Zum Main Station Stop NB,17,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Sandalwood Loop - Route 502 Stop,18,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Sandalwood Loop - Route 502 Stop,1,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Sandalwood - Zum Main Station Stop SB,2,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Bovaird - Zum Main Station Stop SB,3,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Williams - Zum Main Station Stop SB,4,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Vodden - Zum Main Station Stop SB,5,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Nelson - Zum Main Station Stop SB,6,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Wellington - Zum Main Station Stop SB,7,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Nanwood - Zum Main Station Stop SB,8,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Brampton Gateway Terminal Route 2/502 SB,9,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Sir Lou - Zum Main Station Stop SB,10,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Ray Lawson - Zum Main Station Stop SB,11,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Hurontario St at Derry Rd (Zum),12,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Hurontario St at Courtneypark Dr - SB (Zum Main),13,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Hurontario St at Britannia Rd - SB (Zum Main),14,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Hurontario St at Matheson - SB (Zum Main),15,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Hurontario St at Bristol Rd - SB (Zum Main),16,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Hurontario St at Eglinton Ave - SB (Zum Main),17,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,City Centre Transit Terminal - Arrival,18,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
malton-go-station-route-505-stop,Mount Pleasant GO Station - 5/5A/505 Zum Bovaird,1,24,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Lake Louise - Zum Bovaird Station Stop EB,2,24,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Chinguacousy - Zum Bovaird Station Stop EB,3,24,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,McLaughlin - Zum Bovaird Station Stop EB,4,24,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Main - Zum Bovaird Station Stop EB,5,24,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Kennedy - Zum Bovaird Station Stop EB,6,24,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
malton-go-station-route-505-stop,Southlake - Zum Bovaird Station Stop EB,7,24,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-bovaird/512/malton-go-station-route-505-stop/1#trips,East,zum-bovaird,512
